2012-12-23, 73380, 94884, 113154
2012-12-24, 72903, 94263, 112389
2012-12-25, 72961, 93733, 111792
2012-12-26, 72799, 93270, 111211
2012-12-27, 71785, 93448, 110792
2012-12-28, 70942, 93578, 110438
2012-12-29, 70014, 93051, 110517
2012-12-30, 68976, 92414, 110448
2012-12-31, 68097, 91762, 109741
2013-01-01, 68188, 91249, 109198
2013-01-02, 68060, 90724, 108672
2013-01-03, 68378, 91630, 108888
2013-01-04, 68614, 92324, 109089
2013-01-05, 68318, 92081, 109473
2013-01-06, 67358, 91434, 109475
2013-01-07, 66614, 90879, 109011
2013-01-08, 68482, 91327, 109271
2013-01-09, 69848, 91724, 109467
2013-01-10, 69949, 92523, 109732
2013-01-11, 70047, 93090, 109926
2013-01-12, 69914, 92933, 110381
2013-01-13, 69091, 92324, 110375
2013-01-14, 68405, 91794, 109766
2013-01-15, 69790, 92134, 109941
2013-01-16, 70925, 92404, 110093
2013-01-17, 71088, 93185, 110237
2013-01-18, 71315, 93802, 110462
2013-01-19, 71357, 93683, 110941
2013-01-20, 70682, 93138, 110898
2013-01-21, 70206, 92578, 110338
2013-01-22, 71434, 93058, 110410
2013-01-23, 72661, 93581, 110643
2013-01-24, 73784, 94399, 110895
2013-01-25, 74823, 95110, 111240
2013-01-26, 75285, 94830, 111702
2013-01-27, 74975, 94168, 111739
2013-01-28, 74690, 93537, 111276
2013-01-29, 75827, 93739, 111475
2013-01-30, 76813, 93973, 111618
2013-01-31, 77581, 94692, 111823
2013-02-01, 78859, 95600, 112300
2013-02-02, 78535, 95606, 112965
2013-02-03, 77668, 95102, 113018
2013-02-04, 77092, 94489, 112504
2013-02-05, 78451, 94915, 112874
2013-02-06, 79427, 95249, 113103
2013-02-07, 79195, 96028, 113274
2013-02-08, 79183, 96707, 113501
2013-02-09, 79003, 96555, 113926
2013-02-10, 78281, 96050, 113908
2013-02-11, 77645, 95543, 113403
2013-02-12, 78789, 95890, 113658
2013-02-13, 79694, 96217, 113849
2013-02-14, 79705, 96955, 114005
2013-02-15, 79750, 97588, 114150
2013-02-16, 79583, 97463, 114546
2013-02-17, 78770, 96998, 114503
2013-02-18, 78161, 96557, 113972
2013-02-19, 78975, 96708, 114025
2013-02-20, 79984, 97152, 114231
2013-02-21, 80051, 97898, 114619
2013-02-22, 79961, 98618, 114956
2013-02-23, 79802, 99141, 115444
2013-02-24, 79000, 99241, 115447
2013-02-25, 78399, 99154, 114814
2013-02-26, 79561, 99750, 114953
2013-02-27, 80455, 100211, 114989
2013-02-28, 80260, 100822, 114984
2013-03-01, 80326, 101544, 115183
2013-03-02, 80149, 101946, 115618
2013-03-03, 78895, 102055, 115607
2013-03-04, 77903, 101258, 114977
2013-03-05, 79190, 101569, 115363
2013-03-06, 80078, 101848, 115400
2013-03-07, 79884, 102557, 115507
2013-03-08, 79799, 103128, 115670
2013-03-09, 79493, 102770, 116090
2013-03-10, 78683, 102165, 116074
2013-03-11, 78047, 101575, 115529
2013-03-12, 79181, 101836, 115754
2013-03-13, 80176, 102179, 116013
2013-03-14, 80131, 102875, 116209
2013-03-15, 80108, 103407, 116351
2013-03-16, 79921, 103286, 116825
2013-03-17, 79146, 102729, 116835
2013-03-18, 78486, 102158, 116336
2013-03-19, 79554, 102339, 116606
2013-03-20, 80536, 102641, 116900
2013-03-21, 80669, 103306, 117147
2013-03-22, 80488, 103823, 117352
2013-03-23, 80265, 103685, 117838
2013-03-24, 79517, 103062, 117928
2013-03-25, 78811, 102478, 117959
2013-03-26, 80054, 102779, 118785
2013-03-27, 81053, 103063, 119380
2013-03-28, 80826, 103631, 119699
2013-03-29, 80599, 104074, 119962
2013-03-30, 80124, 103689, 120282
2013-03-31, 79123, 103036, 120317
2013-04-01, 78358, 102370, 120203
2013-04-02, 79197, 102062, 120801
2013-04-03, 80238, 102114, 120844
2013-04-04, 80046, 102752, 120904
2013-04-05, 79955, 103269, 121066
2013-04-06, 79765, 102952, 121526
2013-04-07, 78924, 102295, 121475
2013-04-08, 78336, 101663, 120824
2013-04-09, 79529, 101917, 121033
2013-04-10, 80482, 102154, 121118
2013-04-11, 80567, 102827, 121228
2013-04-12, 80666, 103477, 121430
2013-04-13, 80810, 103415, 121911
2013-04-14, 80215, 102916, 121884
2013-04-15, 79627, 102346, 121377
2013-04-16, 81352, 102813, 121641
2013-04-17, 82476, 103190, 121894
2013-04-18, 82519, 103852, 122004
2013-04-19, 82432, 104385, 122114
2013-04-20, 82167, 104337, 122536
2013-04-21, 81357, 103709, 122500
2013-04-22, 80732, 103082, 121979
2013-04-23, 81642, 103230, 122012
2013-04-24, 82479, 103375, 122086
2013-04-25, 82282, 104008, 122152
2013-04-26, 82026, 104504, 122211
2013-04-27, 81872, 104204, 122552
2013-04-28, 81222, 103607, 122522
2013-04-29, 80891, 103009, 121962
2013-04-30, 81892, 103076, 122057
2013-05-01, 82678, 103169, 122037
2013-05-02, 82631, 103606, 121654
2013-05-03, 82470, 104068, 121455
2013-05-04, 82176, 103673, 121748
2013-05-05, 81428, 103023, 121658
2013-05-06, 80828, 102357, 120930
2013-05-07, 81849, 102555, 121066
2013-05-08, 82771, 102853, 121130
2013-05-09, 82782, 103442, 121147
2013-05-10, 82728, 103857, 121139
2013-05-11, 82510, 103565, 121433
2013-05-12, 81825, 102910, 121363
2013-05-13, 81247, 102277, 120781
2013-05-14, 82158, 102429, 120937
2013-05-15, 83123, 102705, 121105
2013-05-16, 83140, 103354, 121205
2013-05-17, 83064, 103912, 121312
2013-05-18, 82774, 103700, 121700
2013-05-19, 81934, 103032, 121634
2013-05-20, 81267, 102386, 121206
2013-05-21, 82134, 102480, 121237
2013-05-22, 83045, 102751, 121332
2013-05-23, 83051, 103355, 121419
2013-05-24, 82938, 103825, 121412
2013-05-25, 82594, 103397, 121733
2013-05-26, 81797, 102630, 121668
2013-05-27, 81023, 102038, 121001
2013-05-28, 81532, 101925, 120820
2013-05-29, 82373, 102352, 120888
2013-05-30, 82251, 102976, 120836
2013-05-31, 82119, 103528, 120856
2013-06-01, 82080, 103466, 121203
2013-06-02, 81218, 102770, 121130
2013-06-03, 80606, 102154, 120438
2013-06-04, 81710, 102480, 120648
2013-06-05, 82621, 102744, 120729
2013-06-06, 84921, 104639, 121318
2013-06-07, 85415, 105503, 121589
2013-06-08, 85315, 105382, 121960
2013-06-09, 84728, 104895, 121904
2013-06-10, 84212, 104381, 121339
2013-06-11, 85174, 104631, 121453
2013-06-12, 86025, 104919, 121518
2013-06-13, 85981, 105507, 121562
2013-06-14, 85817, 106018, 121600
2013-06-15, 85557, 105775, 121915
2013-06-16, 84835, 105118, 121873
2013-06-17, 84236, 104495, 121299
2013-06-18, 85230, 104663, 121460
2013-06-19, 85980, 104816, 121494
2013-06-20, 86081, 105416, 121566
2013-06-21, 85920, 105884, 121604
2013-06-22, 85667, 105725, 121960
2013-06-23, 84968, 105128, 121926
2013-06-24, 84447, 104513, 121262
2013-06-26, 86236, 104795, 121411
2013-06-27, 86553, 105398, 121521
2013-06-28, 86566, 105908, 121787
2013-06-29, 86386, 105635, 122141
2013-06-30, 85691, 105043, 122166
2013-07-01, 85084, 104606, 121742
2013-07-02, 86112, 104847, 121918
2013-07-03, 86989, 105102, 122041
2013-07-04, 86962, 105687, 122154
2013-07-05, 86590, 106030, 122093
2013-07-06, 83201, 105733, 122359
2013-07-07, 81526, 105056, 122325
2013-07-08, 80759, 104484, 121827
2013-07-09, 81860, 104831, 122153
2013-07-10, 82720, 105105, 122293
2013-07-11, 82660, 105675, 122406
2013-07-12, 82551, 106218, 122553
2013-07-13, 82279, 105977, 122882
2013-07-14, 81442, 105315, 122866
2013-07-15, 80763, 104693, 122317
2013-07-16, 81839, 104945, 122469
2013-07-17, 82655, 105134, 122490
2013-07-18, 82491, 105725, 122484
2013-07-19, 82384, 106232, 122538
2013-07-20, 82132, 106104, 122860
2013-07-21, 81408, 105448, 122823
2013-07-22, 80729, 104832, 122302
2013-07-23, 81751, 105054, 122435
2013-07-24, 82552, 105261, 122460
2013-07-25, 82516, 105863, 122493
2013-07-26, 82348, 106409, 122471
2013-07-27, 82047, 106546, 122897
2013-07-28, 81116, 105973, 122818
2013-07-29, 80320, 105424, 122179
2013-07-30, 81275, 105555, 122238
2013-07-31, 82133, 105754, 122420
2013-08-01, 81999, 106321, 122399
2013-08-02, 81908, 106846, 122472
2013-08-03, 81643, 106688, 122860
2013-08-04, 81143, 106083, 122837
2013-08-05, 80613, 102961, 122281
2013-08-06, 81639, 102372, 122306
2013-08-07, 82448, 102383, 122331
2013-08-08, 82349, 102960, 122448
2013-08-09, 82153, 103369, 122478
2013-08-10, 81825, 103066, 122748
2013-08-11, 80974, 102392, 122706
2013-08-12, 80317, 101782, 122139
2013-08-13, 81333, 101883, 122148
2013-08-14, 82184, 102010, 122123
2013-08-15, 81988, 102534, 122115
2013-08-16, 81801, 102995, 122125
2013-08-17, 81590, 102714, 122494
2013-08-18, 80798, 102068, 122435
2013-08-19, 80138, 101442, 121956
2013-08-20, 81244, 101688, 122070
2013-08-21, 81996, 101750, 122001
2013-08-22, 81882, 102320, 122019
2013-08-23, 81731, 102770, 122033
2013-08-24, 81548, 102556, 122390
2013-08-25, 80697, 101857, 122365
2013-08-26, 80001, 101175, 122098
2013-08-27, 81042, 101275, 122282
2013-08-28, 81980, 101479, 122453
2013-08-29, 81977, 102104, 122538
2013-08-30, 81832, 102607, 122547
2013-08-31, 81514, 102293, 122898
2013-09-01, 80743, 101615, 122853
2013-09-02, 80054, 100956, 122300
2013-09-03, 80712, 101059, 122188
2013-09-04, 81838, 101561, 120141
2013-09-05, 82049, 102344, 119672
2013-09-06, 82098, 102891, 119623
2013-09-07, 81936, 102703, 120046
2013-09-08, 81199, 102079, 119981
2013-09-09, 80663, 101529, 119459
2013-09-10, 81762, 101752, 119614
2013-09-11, 82618, 101943, 119675
2013-09-12, 82763, 102626, 119758
2013-09-13, 82757, 103200, 119844
2013-09-14, 82605, 103011, 120262
2013-09-15, 81941, 102381, 120260
2013-09-16, 81301, 101832, 119653
